# name-stuff given names
# format: name|gender|frequency|tags
#
Emmarae|F|2|modern
Emmarie|F|4|modern
Emmarose|F|3|modern
Emmary|F|2|modern
Emmaus|M|2|modern
Emme|F|4|modern
Emmelia|F|3|modern
Emmelina|F|2|modern
Emmeline|F|5|modern
Emmely|F|2|modern
Emmelyn|F|3|modern
Emmer|F|4|vintage
Emmerich|M|2|modern
Emmerie|F|2|modern
Emmersen|F|2|modern
Emmerson|F?|4|modern
Emmersyn|F|4|modern
Emmert|M|2|vintage
Emmery|F|4|modern
Emmet|M|5|modern
Emmett|M|7|modern
Emmette|M|3|vintage
Emmi|F|4|modern
Emmie|F|5|modern
Emmilee|F|2|modern
Emmilia|F|2|modern
Emmily|F|3|modern
Emmilyn|F|2|modern
Emmit|M|4|modern
Emmitt|M|6|modern
Emmogene|F|2|vintage
Emmons|M|2|vintage
Emmory|F|2|modern
Emmry|F|2|modern
Emmy|F|6|modern
Emmylou|F|4|modern
Emnet|F|2|modern
Emogene|F|4|vintage
Emon|M?|3|modern
Emonee|F|2|modern
Emoni|F?|4|modern
Emonie|F|4|modern
Emonii|F|2|modern
Emonni|F|2|modern
Emonnie|F|2|modern
Emonte|M|2|modern
Emony|F|2|modern
Emora|F|2|2
Emoree|F|2|modern
Emori|F?|4|4
Emorie|F|3|modern
Emory|M|6|modern
Emperor|M|2|modern
Empress|F|4|modern
Emrah|M|2|modern
Emran|M|3|modern
Emre|M|3|modern
Emree|F|4|modern
Emrey|F?|2|modern
Emri|F?|3|modern
Emric|M|2|modern
Emrick|M|2|modern
Emrie|F|4|modern
Emrik|M|2|modern
Emry|U|4|modern
Emryn|F?|3|3
Emrys|M|4|4
Emsley|F|3|modern
Emunah|F|2|2
Emy|F|4|modern
Emya|F|3|modern
Emyah|F|2|modern
Emylee|F|3|modern
Emylia|F|2|modern
Emylie|F|2|modern
Emyr|M|2|2
Ena|F|4|vintage
Enas|F|2|modern
Enaya|F|2|modern
Encarnacion|M?|3|vintage
Enda|M|3|vintage
Ender|M|4|modern
Endi|M?|2|modern
Endia|F|4|modern
Endora|F|2|2
Endrick|M|2|2
Endy|M|3|modern
Endya|F|2|modern
Enedelia|F|3|3
Enedina|F|4|4
Eneida|F|3|3
Enes|U|3|vintage
Enfys|F|1|1
Engelbert|M|2|2
England|F?|2|modern
English|U|2|modern
Enid|F|5|vintage
Enijah|F|2|modern
Eniola|F?|2|modern
Enis|U|3|vintage
Enisa|F|2|modern
Eniya|F|3|modern
Eniyah|F|3|modern
Enjoli|F|3|modern
Enma|F|2|2
Enmanuel|M|4|modern
Enna|F?|3|modern
Ennifer|F|2|modern
Ennio|M|2|modern
Ennis|M?|4|vintage
Enoc|M|4|modern
Enoch|M|6|modern
Enola|F|4|vintage
Enora|F|2|modern
Enos|M|4|vintage
Enrica|F|2|2
Enrico|M|4|4
Enrigue|M|3|modern
Enrique|M|7|modern
Enriqueta|F|4|vintage
Enrrique|M|3|modern
Enslee|F|2|2
Ensleigh|F|2|2
Ensley|F|4|4
Enslie|F|2|modern
Envi|F|2|modern
Envy|F|3|modern
Enya|F|4|modern
Enyla|F|2|modern
Enza|F|2|2
Enzi|M?|2|2
Enzio|M|2|modern
Enzlee|F|2|2
Enzley|F|2|2
Enzo|M|6|6
Eoghan|M|5|modern
Eoghann|M|1|1
Eoin|M|7|modern
Eola|F|3|vintage
Eon|M|2|modern
Eowyn|F|4|modern
Ephraim|M|5|modern
Ephram|M|2|modern
Ephrata|F|2|modern
Ephrem|M|2|modern
Ephriam|M|3|vintage
Epic|M?|2|2
Epifania|F|2|vintage
Epifanio|M|4|vintage
Epimenio|M|2|vintage
Epiphany|F|3|modern
Eppie|F?|2|vintage
Epsie|F|2|vintage
Equan|M|2|modern
Equilla|F|3|vintage
Era|F|5|vintage
Erabella|F|2|modern
Eragon|M|2|2
Eraina|F|2|2
Eran|M?|3|modern
Erandi|F|2|modern
Erandy|F|2|modern
Erasmo|M|4|modern
Erasmus|M|2|vintage
Erasto|M|2|modern
Erastus|M|2|vintage
Erbie|M?|2|vintage
Erby|M|2|vintage
Ercel|U|2|vintage
Ercell|U|2|vintage
Ercie|F|2|vintage
Ercilia|F|2|2
Erdem|M|2|modern
Erdine|F|2|vintage
Erek|M|3|modern
Ereka|F|2|2
Eren|M?|4|4
Erendida|F|2|modern
Erendira|F|3|modern
Eretria|F|2|modern
Erez|M|2|modern
Erhard|M|2|vintage
Eri|U|3|modern
Eria|F|2|vintage
Erial|F|2|modern
Erian|U|2|modern
Eriana|F|4|modern
Erianna|F|4|modern
Eriberto|M|4|modern
Eric|M|10|10
Erica|F|8|modern
Ericca|F|3|modern
Erice|M?|2|2
Erich|M|6|6
Ericha|F|2|modern
Ericia|F|2|modern
Erick|M|7|modern
Ericka|F|6|6
Erickson|M|4|modern
Ericson|M|3|modern
Erie|U|4|4
Eriel|F?|3|modern
Erielle|F|3|modern
Erienne|F|2|modern
Erik|M|8|modern
Erika|F|8|modern
Erikah|F|2|modern
Erikka|F|3|modern
Erikson|M|2|modern
Erilyn|F|2|modern
Erin|U|9|modern
Erina|F|4|modern
Erine|F?|1|modern
Erinn|F|4|modern
Erinne|F|2|modern
Erioluwa|U|2|modern
Erion|M?|3|modern
Eriona|F|2|modern
Erionna|F|2|modern
Eriq|M|3|modern
Erique|M|2|modern
Eris|F?|4|modern
Eriyah|F|2|modern
Eriyana|F|2|modern
Eriyanna|F|2|modern
Erla|F|3|vintage
Erland|M|2|vintage
Erle|M|3|vintage
Erleen|F|2|vintage
Erlene|F|4|vintage
Erlin|M|2|modern
Erlinda|F|4|4
Erline|F|4|vintage
Erling|M|4|vintage
Erma|F|7|vintage
Ermal|U|3|vintage
Ermalee|F|2|vintage
Ermalinda|F|2|2
Erman|M|3|vintage
Ermel|U|2|vintage
Ermelinda|F|4|4
Ermias|M|4|4
Ermie|F|2|vintage
Ermin|M|2|modern
Ermina|F|2|vintage
Ermine|F?|3|vintage
Erminia|F|4|vintage
Erminio|M|2|vintage
Ermon|M?|2|vintage
Erna|F|5|vintage
Ernan|M|2|modern
Ernest|M|9|vintage
Ernesta|F|2|2
Ernesteen|F|2|vintage
Ernestene|F|2|vintage
Ernestina|F|5|vintage
Ernestine|F|6|vintage
Ernesto|M|6|modern
Ernie|M|6|6
Ernst|M|4|vintage
Erol|M|2|modern
Eron|M?|4|4
Eros|M|4|modern
Erric|M|2|2
Errica|F|2|2
Errick|M|4|4
Erricka|F|2|modern
Errika|F|2|2
Errin|F?|4|4
Errol|M|5|5
Erroll|M|3|3
Erron|M|3|3
Erryn|F|2|2
Ersel|U|2|vintage
Ersie|F|2|vintage
Erskin|M|2|vintage
Erskine|M|4|4
Ertha|F|2|vintage
Erubiel|M|2|modern
Erum|F|2|modern
Erva|F|3|vintage
Ervan|M|2|vintage
Erven|M|2|vintage
Ervey|M|2|modern
Ervie|M?|2|vintage
Ervin|M|6|vintage
Ervine|M|2|vintage
Erving|M|3|vintage
Erwin|M|6|vintage
Erwyn|M|1|1
Eryca|F|2|modern
Eryck|M|2|modern
Eryk|M|4|modern
Eryka|F|4|modern
Erykah|F|4|modern
Eryn|F|5|modern
Erynn|F|4|modern
Erynne|F|2|modern
Eryss|F|2|2
Eryx|M|2|2
Erza|F?|2|modern
Esa|M?|3|modern
Esabella|F|3|modern
Esai|M|4|modern
Esaiah|M|2|modern
Esaias|M|3|modern
Esau|M|4|modern
Esaul|M|2|modern
Esaw|M|2|vintage
Esbeidy|F|2|modern
Esben|M|2|modern
Esbeydi|F|2|modern
Escher|M|2|modern
Esco|M|2|vintage
Esdras|M|4|modern
Esequiel|M|4|modern
Esgar|M|3|modern
Esha|F|4|modern
Eshaal|F|3|modern
Eshaan|M|4|modern
Eshal|F|3|modern
Eshan|M|4|modern
Eshani|F|2|modern
Eshawn|M|2|modern
Esiah|M|2|modern
Esias|M|2|2
Esiquio|M|2|vintage
Esker|M|2|vintage
Esley|M?|2|vintage
Esli|U|3|modern
Eslie|U|2|vintage
Esly|F|2|modern
Esma|F|3|modern
Esmae|F|4|4
Esmay|F|2|modern
Esme|F?|5|5
Esmee|F|3|modern
Esmeralda|F|7|modern
Esmeray|F|2|2
Esmerelda|F|3|modern
Esmi|F|2|2
Esmie|F|2|2
Esmond|M|2|vintage
Espen|M?|3|modern
Esperansa|F|3|modern
Esperanza|F|6|modern
Espiridion|M|2|vintage
Espn|M?|2|modern
Espyn|F|2|modern
Esra|F|3|3
Esraa|F|2|modern
Essa|M?|3|modern
Essam|M|2|modern
Essance|F|2|modern
Essence|F|6|modern
Essex|M|2|2
Essiah|M|2|2
Essica|F|2|modern
Essie|F|6|vintage
Essyllt|F|1|1
Essynce|F|2|modern
Esta|F|4|vintage
Estaban|M|2|modern
Estalene|F|2|vintage
Estanislado|M|2|vintage
Estanislao|M|2|modern
Esteban|M|6|modern
Estee|F?|3|modern
Estefan|M|2|modern
Estefana|F|4|vintage
Estefani|F|4|modern
Estefania|F|5|modern
Estefanie|F|3|modern
Estefanny|F|2|modern
Estefano|M|2|modern
Estefany|F|5|modern
Estel|M?|4|vintage
Estela|F|5|5
Estelene|F|2|vintage
Estell|F?|4|vintage
Estella|F|6|vintage
Estellar|F|2|vintage
Estelle|F|7|vintage
Esten|M|2|modern
Estephan|M|2|modern
Estephani|F|2|modern
Estephania|F|2|modern
Estephanie|F|4|modern
Estephany|F|3|modern
Ester|F?|6|vintage
Estera|F|2|modern
Estes|M?|3|vintage
Estevan|M|5|modern
Esteven|M|3|modern
Esthefany|F|2|modern
Esthela|F|2|modern
Esther|F|9|vintage
Esti|F|2|2
Estiben|M|2|modern
Estie|F|2|vintage
Estil|M|3|vintage
Estill|M|4|vintage
Estiven|M|2|modern
Estle|M?|3|vintage
Eston|M|4|vintage
Estrella|F|6|modern
Estrellita|F|4|modern
Estreya|F|2|modern
Estuardo|M|2|modern
Estus|M|2|vintage
Esty|F|3|modern
Esvin|M|2|modern
Esyllt|F|1|1
Etai|M|2|modern
Etan|M|2|modern
Etana|F|2|modern
Eternity|F|4|modern
Etha|F|4|vintage
Ethan|M|9|modern
Ethaniel|M|3|modern
Ethanjames|M|2|modern
Ethel|F|9|vintage
Ethelbert|M|2|vintage
Ethelda|F|2|vintage
Etheleen|F|3|vintage
Ethelene|F|4|vintage
Etheline|F|2|vintage
Ethell|F|2|vintage
Ethelmae|F|2|vintage
Ethelyn|F|4|vintage
Ethelyne|F|2|vintage
Ethen|M|4|modern
Ether|F?|4|vintage
Etheridge|M|2|vintage
Ethin|M|2|modern
Ethlyn|F|3|vintage
Ethna|F|1|1
Ethne|F|2|modern
Ethon|M|2|modern
Ethridge|M|2|vintage
Ethyl|F|4|vintage
Ethyle|F|2|vintage
Ethyn|M|4|modern
Etienne|M?|4|modern
Etna|F|3|vintage
Etoile|F|2|vintage
Etoy|F|2|vintage
Etrulia|F|2|vintage
Etta|F|6|vintage
Ettamae|F|2|vintage
Ettel|F|2|modern
Etter|F|2|vintage
Ettie|F|4|vintage
Ettore|M|2|vintage
Etty|F|3|modern
Eual|M|2|vintage
Euan|M|2|modern
Euclid|M|2|vintage
Eudelia|F|2|vintage
Eudell|U|2|vintage
Eudora|F|4|vintage
Euel|M|3|vintage
Euell|M|3|vintage
Eufemia|F|3|vintage
Eugean|M|2|vintage
Eugen|M|2|vintage
Eugena|F|4|4
Eugene|M|9|vintage
Eugenia|F|6|vintage
Eugenie|F|4|4
Eugenio|M|4|4
Eugina|F|2|2
Eugine|M|2|vintage
Eugune|M|2|vintage
Eula|F|6|vintage
Eulah|F|4|vintage
Eulala|F|2|vintage
Eulalia|F|4|vintage
Eulalie|F|3|vintage
Eulalio|M|4|vintage
Eulamae|F|2|vintage
Eulanda|F|2|2
Eular|F|2|vintage
Eulas|M|3|vintage
Eulene|F|3|vintage
Eulice|M|2|vintage
Euline|F|2|vintage
Eulis|M|3|vintage
Eulises|M|2|modern
Eulla|F|2|vintage
Eulogio|M|3|3
Eun|F|2|modern
Euna|F|4|vintage
Eunice|F|7|vintage
Eunie|F|2|vintage
Eunique|F|3|modern
Eupha|F|2|vintage
Euphemia|F|3|vintage
Eura|F?|4|vintage
Eural|M|2|vintage
Eureka|F|3|3
Euretha|F|2|vintage
Euron|F|1|1
Eusebia|F|2|vintage
Eusebio|M|4|4
Eustace|M|3|vintage
Eustacia|F|2|2
Eustacio|M|2|vintage
Eustolia|F|2|vintage
Eutha|F|2|vintage
Eutimio|M|2|vintage
Euva|F|2|vintage
Eva|F|9|vintage
Evaan|M|2|modern
Evadna|F|2|vintage
Evagelia|F|2|2
Evah|F|3|modern
Evalee|F|4|modern
Evaleen|F|2|modern
Evaleigh|F|2|modern
Evalena|F|4|vintage
Evalene|F|2|vintage
Evalette|F|2|modern
Evalie|F|2|modern
Evalin|F|2|modern
Evalina|F|4|modern
Evaline|F|4|vintage
Evalise|F|2|modern
Evaluna|F|3|3
Evalyn|F|5|modern
Evalyne|F|2|vintage
Evalynn|F|4|modern
Evalynne|F|2|modern
Evamae|F|2|vintage
Evamaria|F|2|modern
Evamarie|F|3|modern
Evan|M|9|modern
Evana|F|4|4
Evander|M|4|4
Evanee|F|2|modern
Evanell|F|2|vintage
Evangaline|F|2|modern
Evangela|F|2|2
Evangelene|F|2|modern
Evangelia|F|4|modern
Evangelina|F|6|modern
Evangeline|F|6|modern
Evangelos|M|4|modern
Evangelyn|F|2|modern
Evangelyne|F|2|modern
Evani|F|2|2
Evania|F|2|modern
Evanie|F|2|modern
Evann|M?|3|modern
Evanna|F|4|modern
Evanne|F|2|modern
Evanny|F|2|modern
Evanora|F|2|2
Evans|M|5|vintage
Evany|F|3|modern
Evaristo|M|4|modern
Evarose|F|2|modern
Evart|M|2|vintage
Eve|F|6|modern
Evea|F|2|vintage
Evee|F|3|modern
Evelean|F|2|vintage
Eveleen|F|2|modern
Eveleigh|F|2|modern
Evelena|F|4|vintage
Evelene|F|3|vintage
Evelette|F|2|modern
Evelia|F|4|modern
Evelin|F|5|modern
Evelina|F|5|modern
Eveline|F|4|vintage
Evelio|M|3|modern
Evella|F|2|vintage
Evellyn|F|2|modern
Evely|F|2|modern
Evelyn|U|10|vintage
Evelyna|F|2|modern
Evelyne|F|4|vintage
Evelynn|F|6|modern
Evelynne|F|4|modern
Even|M|3|modern
Evens|M|2|modern
Eveny|F|2|modern
Ever|U|5|modern
Everado|M|2|modern
Everard|M|2|vintage
Everardo|M|4|modern
Everest|M?|4|4
Everet|M|3|vintage
Everett|M|8|modern
Everette|M|6|vintage
Evergreen|F|2|2
Everhett|M|3|3
Everitt|M|3|modern
Everlea|F|2|2
Everlean|F|3|vintage
Everlee|F|5|5
Everleigh|F|6|6
Everlena|F|4|vintage
Everlene|F|2|2
Everley|F|4|modern
Everli|F|2|2
Everlie|F|3|modern
Everliegh|F|2|2
Everlina|F|2|vintage
Everline|F|2|vintage
Everly|F|6|modern
Everlyn|F|4|4
Everlynn|F|3|3
Everrett|M|2|2
Everson|M|3|3
Evert|M|4|vintage
Everton|M|3|modern
Evertt|M|3|vintage
Evett|F|2|2
Evetta|F|2|2
Evette|F|5|5
Evey|F|3|modern
Evi|F|2|modern
Evia|F|4|vintage
Evian|U|3|3
Eviana|F|3|modern
Evianna|F|3|modern
Evie|F|6|modern
Evin|M?|4|modern
Evina|F|1|1
Evita|F|4|modern
Evlyn|F|3|vintage
Evo|M|2|vintage
Evoleht|F|2|modern
Evolet|F|4|modern
Evoleth|F|2|modern
Evolett|F|2|modern
Evolette|F|2|modern
Evon|M|4|4
Evona|F|2|vintage
Evonda|F|2|2
Evone|F|2|2
Evonna|F|2|modern
Evonne|F|5|5
Evony|F|3|modern
Evora|F|2|vintage
Evren|M?|4|4
Evrett|M|2|modern
Evryn|U|2|2
Evva|F|2|vintage
Evvie|F|2|modern
Evy|F|4|modern
Evyn|U|4|modern
Evynn|F|2|modern
Ewa|F|2|2
Ewald|M|3|vintage
Ewan|M|4|modern
Eward|M|2|2
Ewart|M|2|vintage
Ewelina|F|2|modern
Ewell|M|4|vintage
Ewen|M|2|modern
Ewin|M|2|vintage
Ewing|M|4|vintage
Exa|F|2|vintage
Exander|M|2|modern
Exavier|M|4|modern
Excell|M|2|2
Exie|F|4|vintage
Exodus|M?|3|3
Exzavier|M|2|modern
Eyad|M|4|modern
Eyal|M|2|modern
Eyan|M|4|modern
Eyana|F|2|modern
Eyanna|F|2|modern
Eydan|M|3|3
Eyden|M|3|3
Eydie|F|2|2
Eyla|F|2|2
Eyleen|F|2|modern
Eylin|F|2|modern
Eymi|F|2|modern
Eyoab|M|2|2
Eyob|M|2|modern
Eyoel|M|2|modern
Eytan|M|2|modern
Eythan|M|3|3
Eyvette|F|2|2
Eyvonne|F|3|3
Ezabella|F|2|modern
Ezael|M|2|2
Ezaiah|M|2|modern
Ezana|M|3|modern
Ezariah|M?|3|3
Ezechiel|M|2|modern
Ezekeil|M|2|modern
Ezekiah|M|2|2
Ezekial|M|4|modern
Ezekiel|M|7|modern
Ezel|M|2|modern
Ezell|M|4|vintage
Ezella|F|2|vintage
Ezelle|U|2|vintage
Ezequias|M|2|modern
Ezequiel|M|6|modern
Ezeriah|M|2|2
Eziah|M|3|3
Eziel|M|2|2
Ezinne|F|2|modern
Ezio|M|4|modern
Ezlyn|F|2|2
Ezlynn|F|2|2
Ezma|F|2|vintage
Ezmae|F|2|modern
Ezmay|F|2|2
Ezme|F|2|2
Ezmeralda|F|2|modern
Ezra|M|8|8
Ezrael|M|2|2
Ezrah|M?|4|4
Ezran|M|2|2
Ezreal|M|2|modern
Ezren|M|2|2
Ezri|F?|4|modern
Ezrie|F|2|modern
Ezriel|M|3|3
Ezryn|M?|2|2
Eztli|F?|2|2
Ezzard|M|2|2
Ezzie|F?|2|vintage
Faatimah|F|2|modern
Fabian|M|6|modern
Fabiana|F|4|modern
Fabianna|F|2|modern
Fabien|M|3|modern
Fabienne|F|2|modern
Fabiha|F|2|2
Fabio|M|4|modern
Fabiola|F|5|modern
Fabion|M|2|modern
Fable|F?|2|2
Fabrice|M|2|modern
Fabricio|M|4|modern
Fabrizio|M|4|modern
Fabrizzio|M|2|modern
Fachtna|M|1|1
Facundo|M|2|modern
Fadel|M|2|modern
Fadi|M|3|modern
Fadil|M|2|modern
Faduma|F|2|modern
Fadumo|F|2|modern
Fady|M|2|modern
Fae|F|4|vintage
Faelyn|F|2|modern
Faelynn|F|2|modern
Fahad|M|4|modern
Fahd|M|2|modern
Fahed|M|2|modern
Faheem|M|3|modern
Fahim|M|2|modern
Fahima|F|2|modern
Faiga|F|4|modern
Faige|F|2|modern
Faigy|F|4|modern
Fairley|M|2|2
Fairy|F|4|vintage
Faisal|M|4|modern
Faith|F|8|modern
Faithann|F|2|modern
Faithe|F|3|modern
Faithlyn|F|2|modern
Faithlynn|F|3|modern
Faiz|M|3|modern
Faiza|F|4|modern
Faizaan|M|2|modern
Faizah|F|2|modern
Faizan|M|3|modern
Faizon|M|2|modern
Fajr|F|2|modern
Falak|F|1|1
Falan|F|2|modern
Falana|F|2|2
Falcon|M|3|modern
Falecia|F|2|2
Falen|F|2|modern
Falesha|F|2|2
Falicia|F|3|modern
Falicity|F|2|modern
Faline|F|2|modern
Falisha|F|3|modern
Fallan|F|2|modern
Fallon|F|6|modern
Fallou|M|2|modern
Fallyn|F|4|modern
Falon|F|4|modern
Falyn|F|4|modern
Falynn|F|3|modern
Famous|M|2|modern
Fanchon|F|3|modern
Fancy|F|3|modern
Fannie|F|7|vintage
Fanny|F|5|vintage
Fannye|F|2|vintage
Fanta|F|4|modern
Fantashia|F|2|modern
Fantasia|F|4|modern
Fantasy|F|2|modern
Fany|F|2|modern
Faolan|M|2|modern
Fara|F|4|4
Farah|F|5|modern
Faraz|M|3|modern
Fard|M|2|2
Fardeen|M|2|modern
Fardowsa|F|2|modern
Fareed|M|3|modern
Fareeda|F|2|2
Fareedah|F|2|modern
Fareeha|F|2|modern
Faren|F|2|modern
Fares|M|4|modern
Farha|F|2|modern
Farhad|M|2|modern
Farhan|M|4|modern
Farhana|F|2|modern
Farheen|F|2|modern
Farhiya|F|2|modern
Faria|F|2|modern
Farid|M|4|modern
Farida|F|3|modern
Fariha|F|3|modern
Farin|F?|2|modern
Faris|M|4|modern
Farley|M|4|4
Farmer|M|2|vintage
Faron|M|4|4
Farooq|M|2|modern
Farouk|M|2|modern
Farquhar|M|1|1
Farra|F|2|2
Farrah|F|6|modern
Farrel|M|3|vintage
Farrell|M|4|vintage
Farren|U|4|modern
Farrin|F?|2|modern
Farris|M?|4|vintage
Farron|M?|3|modern
Farryn|F|2|modern
Fartun|F|2|modern
Faryal|F|2|modern
Faryn|F|2|modern
Farzad|M|2|modern
Farzana|F|2|modern
Fate|M?|4|vintage
Fateh|M|3|modern
Fatema|F|3|modern
Fatemah|F|2|modern
Faten|F|2|modern
Fathima|F|2|modern
Fatih|M|2|modern
Fatiha|F|2|2
Fatima|F|6|modern
Fatimah|F|4|modern
Fatimata|F|2|modern
Fatimazahra|F|2|modern
Fatina|F|2|2
Fatma|F|3|modern
Fatmata|F|2|modern
Fatou|F|4|modern
Fatoumata|F|4|modern
Fatuma|F|3|modern
Fatumata|F|2|modern
Faun|F|2|vintage
Fauna|F|2|modern
Faustina|F|4|modern
Faustine|F|2|vintage
Faustino|M|4|modern
Fausto|M|4|modern
Favian|M|4|modern
Favio|M|3|modern
Faviola|F|4|modern
Favor|F?|3|modern
Favour|F?|2|modern
Fawaz|M|2|modern
Fawn|F|5|modern
Fawna|F|2|modern
Fay|F?|6|vintage
Faydra|F|2|2
Faye|F|7|7
Fayelynn|F|2|modern
Fayetta|F|4|4
Fayette|U|4|vintage
Fayez|M|2|modern
Faylene|F|2|2
Fayne|U|2|vintage
Fayrene|F|3|vintage
Faysal|M|2|modern
Fayth|F|4|modern
Faythe|F|3|modern
Fe|F|2|modern
Feargal|M|1|1
Fearghal|M|1|1
Fearghus|M|1|1
Feargus|M|1|1
Fearne|F|1|1
Feather|F|3|3
Febe|F|2|modern
Federica|F|2|modern
Federico|M|5|modern
Fedor|M|2|modern
Fedora|F|2|vintage
Feidhlim|M|1|1
Feige|F|2|modern
Felcia|F|2|2
Felder|M|2|vintage
Felecia|F|6|6
Felesha|F|2|2
Feleshia|F|2|modern
Feliberto|M|2|2
Felica|F|4|4
Felice|F?|4|4
Felicha|F|2|2
Felicia|F|7|7
Feliciana|F|3|vintage
Feliciano|M|4|modern
Felicidad|F|2|vintage
Felicie|F|2|vintage
Felicita|F|4|4
Felicitas|F|4|vintage
Felicite|F|2|2
Felicity|F|6|modern
Felim|M|1|1
Felina|F|2|2
Felipa|F|4|vintage
Felipe|M|6|modern
Felis|U|2|vintage
Felisa|F|4|4
Felisha|F|5|modern
Felishia|F|2|modern
Felisia|F|2|2
Felissa|F|2|2
Felita|F|3|3
Felix|M|7|modern
Feliz|U|3|3
Feliza|F|2|modern
Felma|F|2|vintage
Felton|M|5|5
Female|F|4|modern
Fendi|F?|2|2
Fenella|F|1|1
Fenix|M?|4|modern
Fenna|F|2|modern
Fennec|M|2|2
Fenrir|M|2|2
Fenris|M|2|modern
Fenton|M|4|vintage
Fenwick|M|1|1
Feras|M|2|modern
Ferd|M|3|vintage
Ferdie|M|2|vintage
Ferdinand|M|5|vintage
Ferdinando|M|2|2
Fergal|M|5|5
Fergie|F|2|modern
Fergus|M|3|modern
Ferguson|M|2|modern
Ferlin|M|2|2
Ferman|M|4|vintage
Fermin|M|4|modern
Fermina|F|2|vintage
Fermon|M|2|vintage
Fern|F|6|vintage
Fernado|M|2|modern
Fernand|M|4|vintage
Fernanda|F|6|modern
Fernande|F|3|vintage
Fernandez|M|2|modern
Fernando|M|8|modern
Ferne|F|4|vintage
Fernie|M|2|modern
Ferol|F|3|vintage
Ferran|M?|2|2
Ferrel|M?|2|vintage
Ferrell|M?|4|vintage
Ferrin|F?|2|modern
Ferris|M|4|vintage
Ferron|M?|2|2
Festus|M|2|vintage
Feven|F|2|modern
Fey|F|2|modern
Ffion|F?|1|1
Ffiona|F|1|1
Fflur|F|1|1
Fia|F|3|3
Fiach|M|2|2
Fiachra|M|1|1
Fiadh|F|2|2
Fianna|F|2|modern
Fidel|M|6|modern
Fidela|F|2|vintage
Fidelia|F|3|vintage
Fidelis|U|2|vintage
Fidelma|F|4|4
Fidencio|M|4|4
Field|M|2|modern
Fielding|M|3|modern
Fields|M|2|2
Fifi|F|2|vintage
Filbert|M|2|2
Filemon|M|3|modern
Filiberto|M|4|modern
Filimon|M|2|vintage
Filip|M|4|modern
Filipe|M|2|modern
Filippa|F|2|modern
Filippo|M|3|3
Fillmore|M|2|vintage
Filmore|M|2|vintage
Filomena|F|5|vintage
Filomeno|M|2|vintage
Fin|M|2|modern
Fina|F|2|2
Finan|M|2|2
Finbar|M|2|modern
Finbarr|M|6|6
Finch|M|2|modern
Findlay|M|2|modern
Findley|U|2|modern
Finella|F|1|1
Finesse|F?|2|modern
Finian|M|3|modern
Finis|M|4|vintage
Finlay|M|4|modern
Finlee|F?|4|modern
Finleigh|F|4|modern
Finley|M|6|modern
Finn|U|6|modern
Finnan|M|2|2
Finnbar|M|1|1
Finneas|M|4|4
Finnegan|M|6|modern
Finneus|M|2|modern
Finnian|M|4|modern
Finnick|M|4|4
Finnigan|M|4|modern
Finnlee|U|2|modern
Finnleigh|F|2|modern
Finnley|U|5|modern
Finnuala|F|1|1
Finola|F|2|modern
Fintan|M|2|modern
Fion|M?|1|1
Fiona|F|8|8
Fiona|F|6|modern
Fionbharr|M|1|1
Fionn|U|3|modern
Fionna|F|3|modern
Fionnghuala|F|1|1
Fionntan|M|1|1
Fionnuala|F|5|modern
Fionnula|F|1|1
Fionola|F|1|1
Fiora|F|2|modern
Fiore|M?|2|vintage
Fiorela|F|2|modern
Fiorella|F|4|modern
Firas|M|2|modern
Firman|M|2|vintage
Firth|M|1|1
Fischer|M|4|modern
Fishel|M|2|modern
Fisher|M|5|modern
Fitz|M|3|3
Fitzgerald|M|4|modern
Fitzhugh|M|2|vintage
Fitzpatrick|M|2|modern
Fitzroy|M|2|modern
Fiza|F|2|modern
Fizza|F|2|modern
Flannery|F|3|modern
Flara|F|2|vintage
Flavia|F|4|vintage
Flavio|M|4|modern
Flecia|F|2|2
Fleda|F|2|vintage
Fleet|M|2|vintage
Fleeta|F|3|vintage
Flem|M|2|vintage
Fleming|M|4|vintage
Flemon|M|2|vintage
Fleta|F|4|vintage
Fletcher|M|6|modern
Fleur|F|2|modern
Fleurette|F|2|vintage
Flint|M|4|modern
Flo|F|4|vintage
Floella|F|2|vintage
Flonnie|F|4|vintage
Flor|F|5|modern
Flora|F|7|vintage
Florabelle|F|2|vintage
Florance|F|4|vintage
Flordia|F|2|vintage
Floree|F|2|vintage
Floreen|F|2|2
Floreine|F|2|vintage
Florella|F|2|vintage
Florena|F|2|vintage
Florence|F|9|vintage
Florencia|F|4|modern
Florencio|M|4|vintage
Florenda|F|2|2
Florene|F|4|vintage
Florentina|F|4|vintage
Florentine|F|3|vintage
Florentino|M|4|modern
Florestine|F|2|2
Floretta|F|4|vintage
Florette|F|2|vintage
Floria|F|4|4
Florian|M|4|vintage
Florice|F|3|vintage
Florida|F|4|vintage
Florie|F|3|vintage
Floriene|F|2|vintage
Florina|F|2|vintage
Florinda|F|4|4
Florine|F|6|vintage
Floris|F|3|vintage
Florita|F|2|2
Flornce|F|2|vintage
Florrie|F|4|vintage
Florry|M|1|1
Flossie|F|6|vintage
Flower|F|2|modern
Floy|F|5|vintage
Floyce|F|3|vintage
Floyd|M|8|vintage
Floyde|M|2|vintage
Floye|F|3|vintage
Floyed|M|2|vintage
Flynn|M|5|modern
Flynt|M|2|modern
Fola|U|1|1
Folasade|F|2|modern
Folashade|F|2|modern
